ARF5	ARF5	7	+	1	1.1	127228459	127228619
ARF5	ARF5	7	+	2	2.1	127229137	127229217
ARF5	ARF5	7	+	3	3.1	127229539	127229648
ARF5	ARF5	7	+	4	4.1	127230120	127230191
ARF5	ARF5	7	+	5	5.1	127231017	127231085
ARF5	ARF5	7	+	5	5.2	127231086	127231142
ARF5	ARF5	7	+	6	6.1	127231267	127231374
ARF5	ARF5	7	+	6	6.2	127231375	127231754
FKBP4	FKBP4	12	+	1	1.1	2904108	2904410
FKBP4	FKBP4	12	+	2	2.1	2906304	2906448
FKBP4	FKBP4	12	+	3	3.1	2906895	2907037
FKBP4	FKBP4	12	+	4	4.1	2907872	2907992
FKBP4	FKBP4	12	+	5	5.1	2908254	2908410
FKBP4	FKBP4	12	+	6	6.1	2909016	2909106
FKBP4	FKBP4	12	+	7	7.1	2909205	2909288
FKBP4	FKBP4	12	+	8	8.1	2909558	2909743
FKBP4	FKBP4	12	+	9	9.1	2910283	2910522
FKBP4	FKBP4	12	+	10	10.1	2912317	2913108
FKBP4	FKBP4	12	+	10	10.2	2913109	2913124
FKBP4	FKBP4	12	+	10	10.3	2913125	2914589
SARM1	SARM1	17	+	1	1.1	26691378	26691497
SARM1	SARM1	17	+	2	2.1	26692138	26692187
SARM1	SARM1	17	+	3	3.1	26698987	26699053
SARM1	SARM1	17	+	3	3.2	26699054	26699521
SARM1	SARM1	17	+	4	4.1	26708222	26708840
SARM1	SARM1	17	+	5	5.1	26711376	26711588
SARM1	SARM1	17	+	6	6.1	26711689	26711857
SARM1	SARM1	17	+	6	6.2	26711858	26711949
SARM1	SARM1	17	+	7	7.1	26712059	26712294
SARM1	SARM1	17	+	8	8.1	26715193	26715295
SARM1	SARM1	17	+	9	9.1	26715369	26715378
SARM1	SARM1	17	+	9	9.2	26715379	26715558
SARM1	SARM1	17	+	10	10.1	26722924	26723045
SARM1	SARM1	17	+	11	11.1	26723176	26725069
SARM1	SARM1	17	+	11	11.2	26725070	26725151
SARM1	SARM1	17	+	11	11.3	26725152	26728065
FUCA2	FUCA2	6	-	1	1.1	143832863	143832548
FUCA2	FUCA2	6	-	2	2.1	143828561	143828374
FUCA2	FUCA2	6	-	3	3.1	143825389	143825050
FUCA2	FUCA2	6	-	4	4.1	143823702	143823492
FUCA2	FUCA2	6	-	5	5.1	143823259	143823069
FUCA2	FUCA2	6	-	6	6.1	143818634	143818526
FUCA2	FUCA2	6	-	6	6.2	143818525	143817763
FUCA2	FUCA2	6	-	7	7.1	143816984	143816614
FUCA2	FUCA2	6	-	7	7.2	143816613	143815949
M6PR	M6PR	12	-	1	1.1	9102252	9102084
M6PR	M6PR	12	-	2	2.1	9099001	9098825
M6PR	M6PR	12	-	3	3.1	9098180	9098014
M6PR	M6PR	12	-	4	4.1	9096506	9096397
M6PR	M6PR	12	-	5	5.1	9096131	9096001
M6PR	M6PR	12	-	6	6.1	9095138	9095012
M6PR	M6PR	12	-	7	7.1	9094536	9092961
